task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
meniscus,sagittal,0.00007,0.2,0.277,0.7927,0.7083,0.7885,0.6471
abnormal,coronal,0.00007,0.2,0.1509,0.8817,0.7333,0.6842,0.92
meniscus,axial,0.00007,0.2,0.2499,0.8357,0.7167,0.4808,0.8971
abnormal,axial,0.00007,0.2,0.1124,0.9448,0.7583,0.6947,1.0
acl,coronal,0.00001,0.3,0.1882,0.927,0.8167,0.6481,0.9545
acl,sagittal,0.00001,0.3,0.1755,0.9355,0.8333,0.7778,0.8788
acl,axial,0.00001,0.3,0.1478,0.9509,0.8833,0.9074,0.8636
meniscus,coronal,0.00001,0.3,0.2587,0.8258,0.7583,0.8462,0.6912
abnormal,sagittal,0.00001,0.3,0.1147,0.952,0.7417,0.6947,0.92
meniscus,sagittal,0.00001,0.3,0.2741,0.7845,0.725,0.8846,0.6029
abnormal,coronal,0.00001,0.3,0.1479,0.8754,0.8,0.8105,0.76
meniscus,axial,0.00001,0.3,0.2514,0.8314,0.65,0.9615,0.4118
abnormal,axial,0.00001,0.3,0.1056,0.9457,0.8583,0.8316,0.96
acl,coronal,0.00006,0.2,0.1839,0.9268,0.8667,0.8148,0.9091
acl,sagittal,0.00006,0.2,0.1756,0.931,0.8083,0.6111,0.9697
acl,axial,0.00006,0.2,0.1469,0.9565,0.8333,0.9815,0.7121
meniscus,coronal,0.00006,0.2,0.253,0.834,0.7833,0.7885,0.7794
abnormal,sagittal,0.00006,0.2,0.0957,0.9558,0.7833,0.7474,0.92
meniscus,sagittal,0.00006,0.2,0.2772,0.7902,0.725,0.9231,0.5735
abnormal,coronal,0.00006,0.2,0.1509,0.8821,0.7417,0.6947,0.92
meniscus,axial,0.00006,0.2,0.2496,0.836,0.7167,0.4808,0.8971
abnormal,axial,0.00006,0.2,0.1126,0.9448,0.7833,0.7263,1.0
acl,coronal,0.02,0.1,0.2559,0.9133,0.8417,0.7222,0.9394
acl,sagittal,0.02,0.1,0.1917,0.9436,0.85,0.8148,0.8788
acl,axial,0.02,0.1,0.1655,0.9568,0.8917,0.9259,0.8636
meniscus,coronal,0.02,0.1,0.2824,0.83,0.7667,0.8654,0.6912
abnormal,sagittal,0.02,0.1,0.1215,0.9457,0.6417,0.5579,0.96
meniscus,sagittal,0.02,0.1,0.3074,0.735,0.6083,0.9231,0.3676
abnormal,coronal,0.02,0.1,0.1505,0.8872,0.7333,0.6947,0.88
meniscus,axial,0.02,0.1,0.2886,0.7732,0.7,0.7885,0.6324
abnormal,axial,0.02,0.1,0.1322,0.9284,0.8833,0.9053,0.8
acl,coronal,0.001,0.2,0.1862,0.9287,0.8667,0.7963,0.9242
acl,sagittal,0.001,0.2,0.1782,0.9315,0.8167,0.9074,0.7424
acl,axial,0.001,0.2,0.1474,0.9568,0.8417,0.9815,0.7273
meniscus,coronal,0.001,0.2,0.2532,0.8334,0.7833,0.7885,0.7794
abnormal,sagittal,0.001,0.2,0.0954,0.9558,0.8167,0.7895,0.92
meniscus,sagittal,0.001,0.2,0.2776,0.7856,0.7083,0.8846,0.5735
abnormal,coronal,0.001,0.2,0.1511,0.8834,0.7333,0.6842,0.92
meniscus,axial,0.001,0.2,0.2504,0.8303,0.7083,0.4808,0.8824
abnormal,axial,0.001,0.2,0.1122,0.944,0.8083,0.7579,1.0
acl,coronal,0.00001,0.1,0.1948,0.9256,0.75,0.9444,0.5909
acl,sagittal,0.00001,0.1,0.1726,0.9416,0.85,0.7778,0.9091
acl,axial,0.00001,0.1,0.1437,0.9574,0.8583,0.7963,0.9091
meniscus,coronal,0.00001,0.1,0.2593,0.8329,0.725,0.8846,0.6029
abnormal,sagittal,0.00001,0.1,0.0945,0.952,0.8083,0.7789,0.92
meniscus,sagittal,0.00001,0.1,0.2898,0.7574,0.6833,0.8462,0.5588
abnormal,coronal,0.00001,0.1,0.1452,0.8855,0.7333,0.6947,0.88
meniscus,axial,0.00001,0.1,0.2453,0.8385,0.7417,0.7692,0.7206
abnormal,axial,0.00001,0.1,0.1039,0.9507,0.8167,0.7684,1.0
acl,coronal,0.002,0.1,0.1877,0.9299,0.85,0.9259,0.7879
acl,sagittal,0.002,0.1,0.1765,0.9377,0.8417,0.8333,0.8485
acl,axial,0.002,0.1,0.1473,0.954,0.8583,0.7778,0.9242
meniscus,coronal,0.002,0.1,0.2566,0.8402,0.7667,0.7885,0.75
abnormal,sagittal,0.002,0.1,0.1007,0.9549,0.7917,0.7474,0.96
meniscus,sagittal,0.002,0.1,0.284,0.7718,0.5917,0.9423,0.3235
abnormal,coronal,0.002,0.1,0.1482,0.8842,0.7333,0.6947,0.88
meniscus,axial,0.002,0.1,0.2471,0.8326,0.75,0.75,0.75
abnormal,axial,0.002,0.1,0.117,0.9436,0.8083,0.7684,0.96
acl,coronal,0.00004,0.1,0.1843,0.9262,0.8417,0.8519,0.8333
acl,sagittal,0.00004,0.1,0.1794,0.9355,0.85,0.7778,0.9091
acl,axial,0.00004,0.1,0.148,0.9523,0.8583,0.7778,0.9242
meniscus,coronal,0.00004,0.1,0.2547,0.8413,0.7583,0.75,0.7647
abnormal,sagittal,0.00004,0.1,0.0981,0.9562,0.7917,0.7474,0.96
meniscus,sagittal,0.00004,0.1,0.2914,0.778,0.625,0.9423,0.3824
abnormal,coronal,0.00004,0.1,0.148,0.8829,0.7333,0.6947,0.88
meniscus,axial,0.00004,0.1,0.2451,0.8377,0.775,0.7692,0.7794
abnormal,axial,0.00004,0.1,0.1175,0.9432,0.8083,0.7684,0.96
acl,coronal,0.00002,0.3,0.1882,0.929,0.8333,0.6852,0.9545
acl,sagittal,0.00002,0.3,0.1755,0.9355,0.8333,0.7778,0.8788
acl,axial,0.00002,0.3,0.1478,0.9515,0.8833,0.9074,0.8636
meniscus,coronal,0.00002,0.3,0.2589,0.8249,0.7167,0.5385,0.8529
abnormal,sagittal,0.00002,0.3,0.1132,0.952,0.7417,0.6947,0.92
meniscus,sagittal,0.00002,0.3,0.2731,0.7839,0.7083,0.8654,0.5882
abnormal,coronal,0.00002,0.3,0.1478,0.8766,0.7917,0.8,0.76
meniscus,axial,0.00002,0.3,0.2513,0.8326,0.6417,0.9615,0.3971
abnormal,axial,0.00002,0.3,0.1055,0.9461,0.8667,0.8421,0.96
acl,coronal,0.05,0.1,0.3203,0.7354,0.6917,0.4444,0.8939
acl,sagittal,0.05,0.1,0.2876,0.8735,0.75,0.5185,0.9394
acl,axial,0.05,0.1,0.2316,0.9169,0.8417,0.8704,0.8182
meniscus,coronal,0.05,0.1,0.3095,0.7958,0.7333,0.7308,0.7353
abnormal,sagittal,0.05,0.1,0.1547,0.9183,0.6083,0.5158,0.96
